NATIONAL DATA BANK VERSION 8.2,,,,,,,,12/06/2022,,,,,,,,,
SS7 - CHOOSE UP TO 99 VARIABLES - SUBSTATES ASCENDING ,,,,,,, , ,,,,,,,,,
Jan 2022,,,,,,,Data is Subject to Revision.  The data reflected is the latest available data.,,,,,,,,,,
Substate/Region,SNAP All Persons Public Assistance Participation,,SNAP All Persons Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA People,,SNAP All Households Public Assistance Participation,,SNAP All Households Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA Households,,SNAP All Total Actual PA & Non-PA Issuance,,,,
0514501 AR EBT WHITE COUNTY,86,,"7,857",,"7,943",,24,,"3,874",,"3,898",,"1,160,104",,,,
0514701 AR EBT WOODRUFF COUNTY,5,,"1,082",,"1,087",,2,,618,,620,,"152,425",,,,
0514901 AR EBT YELL COUNTY,4,,"1,984",,"1,988",,2,,960,,962,,"282,732",,,,
0515992 AR EBT 92-1 Field Operations,0,,0,,0,,0,,0,,0,,0,,,,
0515996 AR EBT 96-1 Field Operations,0,,0,,0,,0,,0,,0,,0,,,,
0600105 CA EBT ALAMEDA COUNTY DSS,"27,675",,"119,444",,"147,119",,"19,499",,"71,429",,"90,928",,"22,906,991",,,,
0600302 CA EBT ALPINE COUNTY DSS,6,,112,,118,,6,,57,,63,,"29,373",,,,
0600501 CA EBT AMADOR COUNTY DSS,490,,"2,532",,"3,022",,325,,"1,446",,"1,771",,"805,636",,,,
0600702 CA EBT BUTTE COUNTY DSS,"7,349",,"24,500",,"31,849",,"5,066",,"14,682",,"19,748",,"8,508,433",,,,
0600901 CA EBT CALAVERAS CO DSW,736,,"4,351",,"5,087",,508,,"2,474",,"2,982",,"1,410,837",,,,
0601101 CA EBT COLUSA COUNTY DSW,315,,"1,846",,"2,161",,211,,884,,"1,095",,"328,311",,,,
0601302 CA EBT CONTRA COSTA COUNTY DSS,"16,804",,"69,873",,"86,677",,"10,872",,"38,390",,"49,262",,"21,655,967",,,,
0601501 CA EBT DEL NORTE CO DSW,"1,568",,"4,215",,"5,783",,"1,026",,"2,359",,"3,385",,"1,474,160",,,,
0601704 CA EBT EL DORADO COUNTY DSS,"2,125",,"9,637",,"11,762",,"1,430",,"5,992",,"7,422",,"3,375,145",,,,
0601904 CA EBT FRESNO COUNTY DSW,"40,699",,"175,623",,"216,322",,"21,190",,"83,112",,"104,302",,"50,937,764",,,,
0602102 CA EBT GLENN CO WELFARE DEPT,922,,"2,691",,"3,613",,521,,"1,308",,"1,829",,"899,142",,,,
0602303 CA EBT HUMBOLDT CO DSW,"4,663",,"18,423",,"23,086",,"3,338",,"11,452",,"14,790",,"3,896,605",,,,
0602501 CA EBT IMPERIAL CO DSW,"8,511",,"30,703",,"39,214",,"4,601",,"14,112",,"18,713",,"9,670,816",,,,
0602701 CA EBT INYO COUNTY WELF DEPT,304,,"1,824",,"2,128",,216,,978,,"1,194",,"548,334",,,,
0602902 CA EBT KERN,"38,857",,"113,858",,"152,715",,"20,395",,"51,681",,"72,076",,"25,003,758",,,,
