NATIONAL DATA BANK VERSION 8.2,,,,,,,,12/06/2022,,,,,,,,,
SS7 - CHOOSE UP TO 99 VARIABLES - SUBSTATES ASCENDING ,,,,,,, , ,,,,,,,,,
Jan 2022,,,,,,,Data is Subject to Revision.  The data reflected is the latest available data.,,,,,,,,,,
Substate/Region,SNAP All Persons Public Assistance Participation,,SNAP All Persons Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA People,,SNAP All Households Public Assistance Participation,,SNAP All Households Non-Public Assistance Participation,,Calc: SNAP Total PA and Non-PA Households,,SNAP All Total Actual PA & Non-PA Issuance,,,,
4705301 TN EBT GIBSON,938,,"6,420",,"7,358",,781,,"2,929",,"3,710",,"1,110,160",,,,
4705501 TN EBT GILES,401,,"3,361",,"3,762",,350,,"1,604",,"1,954",,"602,367",,,,
4705701 TN EBT GRAINGER,386,,"2,898",,"3,284",,335,,"1,319",,"1,654",,"490,849",,,,
4705901 TN EBT GREENE,"1,175",,"6,889",,"8,064",,994,,"3,333",,"4,327",,"1,220,474",,,,
4706101 TN EBT GRUNDY,387,,"2,760",,"3,147",,332,,"1,321",,"1,653",,"485,378",,,,
4706301 TN EBT HAMBLEN,901,,"7,375",,"8,276",,789,,"3,472",,"4,261",,"1,295,234",,,,
4706501 TN EBT HAMILTON COUNTY DHS,"4,547",,"36,718",,"41,265",,"3,733",,"17,814",,"21,547",,"6,978,478",,,,
4706701 TN EBT HANCOCK,316,,"1,616",,"1,932",,260,,776,,"1,036",,"287,379",,,,
4706901 TN EBT HARDEMAN,567,,"3,782",,"4,349",,511,,"1,866",,"2,377",,"684,734",,,,
4707101 TN EBT HARDIN,601,,"3,878",,"4,479",,511,,"1,901",,"2,412",,"673,854",,,,
4707301 TN EBT HAWKINS,"1,017",,"7,450",,"8,467",,815,,"3,391",,"4,206",,"1,299,519",,,,
4707501 TN EBT HAYWOOD,558,,"3,360",,"3,918",,475,,"1,643",,"2,118",,"607,405",,,,
4707701 TN EBT HENDERSON,539,,"3,689",,"4,228",,444,,"1,709",,"2,153",,"643,431",,,,
4707901 TN EBT HENRY,487,,"4,564",,"5,051",,426,,"2,154",,"2,580",,"790,978",,,,
4708101 TN EBT HICKMAN,344,,"3,051",,"3,395",,298,,"1,441",,"1,739",,"531,128",,,,
4708301 TN EBT HOUSTON,119,,"1,093",,"1,212",,103,,485,,588,,"182,510",,,,
4708501 TN EBT HUMPHREYS,215,,"1,941",,"2,156",,193,,895,,"1,088",,"342,097",,,,
4708701 TN EBT JACKSON,248,,"1,607",,"1,855",,211,,807,,"1,018",,"275,007",,,,
4708901 TN EBT JEFFERSON,661,,"5,667",,"6,328",,587,,"2,617",,"3,204",,"977,489",,,,
4709101 TN EBT JOHNSON,437,,"2,434",,"2,871",,379,,"1,211",,"1,590",,"414,484",,,,
4709301 TN EBT KNOX,"5,332",,"38,320",,"43,652",,"4,456",,"19,005",,"23,461",,"7,106,809",,,,
4709501 TN EBT LAKE,222,,"1,421",,"1,643",,190,,710,,900,,"259,742",,,,
4709701 TN EBT LAUDERDALE,686,,"4,508",,"5,194",,573,,"2,160",,"2,733",,"820,577",,,,
4709901 TN EBT LAWRENCE,589,,"5,009",,"5,598",,518,,"2,282",,"2,800",,"852,065",,,,
4710101 TN EBT LEWIS,175,,"1,574",,"1,749",,161,,759,,920,,"258,587",,,,
4710301 TN EBT LINCOLN,501,,"3,966",,"4,467",,397,,"1,728",,"2,125",,"702,470",,,,
4710501 TN EBT LOUDON,382,,"3,661",,"4,043",,343,,"1,702",,"2,045",,"619,823",,,,
4710701 TN EBT MCMINN,732,,"6,861",,"7,593",,623,,"3,261",,"3,884",,"1,221,400",,,,
4710901 TN EBT MCNAIRY,459,,"3,388",,"3,847",,413,,"1,654",,"2,067",,"572,189",,,,
4711101 TN EBT MACON,430,,"3,958",,"4,388",,368,,"1,731",,"2,099",,"698,775",,,,
4711301 TN EBT MADISON,"2,287",,"12,765",,"15,052",,"1,752",,"5,918",,"7,670",,"2,417,160",,,,
4711501 TN EBT MARION,469,,"3,939",,"4,408",,386,,"1,878",,"2,264",,"729,008",,,,
4711701 TN EBT MARSHALL,361,,"3,354",,"3,715",,294,,"1,475",,"1,769",,"587,637",,,,
4711901 TN EBT MAURY,810,,"8,601",,"9,411",,704,,"3,979",,"4,683",,"1,568,402",,,,
4712101 TN EBT MEIGS,211,,"1,987",,"2,198",,190,,969,,"1,159",,"360,086",,,,
4712301 TN EBT MONROE,739,,"5,680",,"6,419",,636,,"2,705",,"3,341",,"1,017,598",,,,
4712501 TN EBT MONTGOMERY,"1,907",,"20,732",,"22,639",,"1,519",,"8,752",,"10,271",,"3,792,679",,,,
4712701 TN EBT MOORE,39,,380,,419,,36,,177,,213,,"65,650",,,,
4712901 TN EBT MORGAN,359,,"2,642",,"3,001",,307,,"1,253",,"1,560",,"450,369",,,,
4713101 TN EBT OBION,532,,"4,193",,"4,725",,459,,"1,964",,"2,423",,"744,360",,,,
4713301 TN EBT OVERTON,304,,"2,498",,"2,802",,268,,"1,201",,"1,469",,"409,432",,,,
4713501 TN EBT PERRY,123,,"1,163",,"1,286",,106,,550,,656,,"191,650",,,,
4713701 TN EBT PICKETT,88,,670,,758,,76,,338,,414,,"103,358",,,,
4713901 TN EBT POLK,262,,"2,129",,"2,391",,221,,"1,011",,"1,232",,"363,298",,,,
4714101 TN EBT PUTNAM,"1,013",,"8,147",,"9,160",,857,,"3,907",,"4,764",,"1,464,417",,,,
4714301 TN EBT RHEA,622,,"4,801",,"5,423",,526,,"2,255",,"2,781",,"875,723",,,,
4714501 TN EBT ROANE,759,,"5,856",,"6,615",,618,,"2,778",,"3,396",,"1,042,184",,,,
4714701 TN EBT ROBERTSON,524,,"6,083",,"6,607",,410,,"2,787",,"3,197",,"1,103,630",,,,
4714901 TN EBT RUTHERFORD,"1,770",,"22,741",,"24,511",,"1,437",,"9,602",,"11,039",,"4,131,332",,,,
4715101 TN EBT SCOTT,666,,"4,671",,"5,337",,577,,"2,183",,"2,760",,"808,278",,,,
4715301 TN EBT SEQUATCHIE,308,,"2,387",,"2,695",,266,,"1,114",,"1,380",,"432,681",,,,
4715501 TN EBT SEVIER,749,,"7,787",,"8,536",,633,,"3,712",,"4,345",,"1,317,649",,,,
4715701 TN EBT SHELBY COUNTY DHS,"18,650",,"162,301",,"180,951",,"15,386",,"73,341",,"88,727",,"31,438,025",,,,
4715901 TN EBT SMITH,246,,"1,948",,"2,194",,222,,888,,"1,110",,"352,223",,,,
4716101 TN EBT STEWART,161,,"1,383",,"1,544",,141,,591,,732,,"238,206",,,,
4716301 TN EBT SULLIVAN,"2,562",,"17,478",,"20,040",,"2,081",,"8,381",,"10,462",,"3,121,433",,,,
4716501 TN EBT SUMNER,"1,071",,"12,782",,"13,853",,949,,"5,659",,"6,608",,"2,300,672",,,,
4716701 TN EBT TIPTON,825,,"6,932",,"7,757",,698,,"3,164",,"3,862",,"1,263,963",,,,
4716901 TN EBT TROUSDALE,113,,"1,023",,"1,136",,97,,483,,580,,"187,255",,,,
4717101 TN EBT UNICOI,304,,"2,069",,"2,373",,257,,"1,041",,"1,298",,"349,743",,,,
4717301 TN EBT UNION,438,,"2,837",,"3,275",,358,,"1,298",,"1,656",,"487,038",,,,
4717501 TN EBT VAN BUREN,71,,766,,837,,66,,361,,427,,"123,170",,,,
4717701 TN EBT WARREN,727,,"5,949",,"6,676",,643,,"2,741",,"3,384",,"1,057,160",,,,
4717901 TN EBT WASHINGTON,"1,620",,"11,935",,"13,555",,"1,360",,"6,021",,"7,381",,"2,168,386",,,,
4718101 TN EBT WAYNE,230,,"1,803",,"2,033",,199,,889,,"1,088",,"295,932",,,,
4718301 TN EBT WEAKLEY,535,,"3,657",,"4,192",,451,,"1,720",,"2,171",,"635,095",,,,
4718501 TN EBT WHITE,411,,"3,485",,"3,896",,369,,"1,651",,"2,020",,"590,034",,,,
4718701 TN EBT WILLIAMSON,397,,"3,272",,"3,669",,319,,"1,477",,"1,796",,"593,339",,,,
4718901 TN EBT WILSON CO DHS,758,,"7,809",,"8,567",,661,,"3,627",,"4,288",,"1,465,232",,,,
4800101 TX EBT ANDERSON COUNTY,35,,"7,075",,"7,110",,12,,"3,323",,"3,335",,"1,731,843",,,,
4800301 TX EBT ANDREWS COUNTY,6,,"1,918",,"1,924",,2,,763,,765,,"465,919",,,,
4800501 TX EBT ANGELINA COUNTY,51,,"14,223",,"14,274",,18,,"6,284",,"6,302",,"3,434,355",,,,
4800701 TX EBT ARANSAS COUNTY,16,,"3,520",,"3,536",,6,,"1,742",,"1,748",,"881,015",,,,
4800901 TX EBT ARCHER COUNTY,7,,546,,553,,3,,280,,283,,"139,231",,,,
4801101 TX EBT ARMSTRONG COUNTY,0,,107,,107,,0,,48,,48,,"27,601",,,,
4801301 TX EBT ATASCOSA COUNTY,33,,"9,151",,"9,184",,11,,"3,741",,"3,752",,"2,178,053",,,,
4801501 TX EBT AUSTIN COUNTY,9,,"2,815",,"2,824",,2,,"1,234",,"1,236",,"681,596",,,,
4801701 TX EBT BAILEY COUNTY,5,,923,,928,,1,,347,,348,,"215,129",,,,
4801901 TX EBT BANDERA COUNTY,2,,"2,055",,"2,057",,1,,963,,964,,"492,973",,,,
4802101 TX EBT BASTROP COUNTY,21,,"10,855",,"10,876",,8,,"4,637",,"4,645",,"2,625,612",,,,
4802301 TX EBT BAYLOR COUNTY,2,,526,,528,,1,,264,,265,,"129,773",,,,
4802501 TX EBT BEE COUNTY,33,,"5,385",,"5,418",,10,,"2,364",,"2,374",,"1,292,715",,,,
4802702 TX EBT BELL COUNTY,377,,"51,898",,"52,275",,126,,"21,832",,"21,958",,"12,617,021",,,,
4802904 TX EBT BEXAR COUNTY,"1,057",,"284,053",,"285,110",,353,,"123,457",,"123,810",,"68,642,173",,,,
4803101 TX EBT BLANCO COUNTY,0,,504,,504,,0,,257,,257,,"120,504",,,,
4803301 TX EBT BORDEN COUNTY,0,,52,,52,,0,,21,,21,,"12,570",,,,
4803501 TX EBT BOSQUE COUNTY,5,,"1,945",,"1,950",,2,,865,,867,,"470,640",,,,
4803701 TX EBT BOWIE COUNTY,93,,"15,178",,"15,271",,30,,"6,862",,"6,892",,"3,690,814",,,,
4803901 TX EBT BRAZORIA COUNTY,60,,"35,796",,"35,856",,20,,"15,215",,"15,235",,"8,652,543",,,,
4804101 TX EBT BRAZOS COUNTY,94,,"20,689",,"20,783",,33,,"8,944",,"8,977",,"5,033,187",,,,
4804301 TX EBT BREWSTER COUNTY,4,,752,,756,,1,,411,,412,,"191,097",,,,
4804501 TX EBT BRISCOE COUNTY,0,,121,,121,,0,,56,,56,,"27,330",,,,
4804701 TX EBT BROOKS COUNTY,10,,"2,523",,"2,533",,3,,"1,140",,"1,143",,"599,396",,,,
4804901 TX EBT BROWN COUNTY,16,,"4,978",,"4,994",,5,,"2,376",,"2,381",,"1,209,715",,,,
4805101 TX EBT BURLESON COUNTY,2,,"2,371",,"2,373",,1,,"1,132",,"1,133",,"580,041",,,,
4805301 TX EBT BURNET COUNTY,9,,"3,644",,"3,653",,3,,"1,645",,"1,648",,"884,694",,,,
4805501 TX EBT CALDWELL COUNTY,6,,"5,958",,"5,964",,2,,"2,504",,"2,506",,"1,434,415",,,,
4805701 TX EBT CALHOUN COUNTY,4,,"2,932",,"2,936",,2,,"1,360",,"1,362",,"711,147",,,,
4805901 TX EBT CALLAHAN COUNTY,2,,"1,689",,"1,691",,1,,747,,748,,"402,667",,,,
4806104 TX EBT CAMERON COUNTY,272,,"104,895",,"105,167",,96,,"43,496",,"43,592",,"24,847,344",,,,
4806301 TX EBT CAMP COUNTY,17,,"2,140",,"2,157",,6,,938,,944,,"511,846",,,,
4806501 TX EBT CARSON COUNTY,0,,362,,362,,0,,155,,155,,"85,699",,,,
4806701 TX EBT CASS COUNTY,20,,"5,021",,"5,041",,8,,"2,377",,"2,385",,"1,215,757",,,,
4806901 TX EBT CASTRO COUNTY,0,,909,,909,,0,,364,,364,,"214,158",,,,
4807101 TX EBT CHAMBERS COUNTY,7,,"4,112",,"4,119",,2,,"1,715",,"1,717",,"988,629",,,,
4807301 TX EBT CHEROKEE COUNTY,32,,"7,813",,"7,845",,11,,"3,350",,"3,361",,"1,880,242",,,,
4807501 TX EBT CHILDRESS COUNTY,0,,834,,834,,0,,388,,388,,"198,440",,,,
4807701 TX EBT CLAY COUNTY,4,,912,,916,,2,,416,,418,,"217,655",,,,
4807901 TX EBT COCHRAN COUNTY,0,,522,,522,,0,,230,,230,,"124,394",,,,
4808101 TX EBT COKE COUNTY,0,,340,,340,,0,,148,,148,,"82,823",,,,
4808301 TX EBT COLEMAN COUNTY,12,,"1,185",,"1,197",,4,,548,,552,,"281,072",,,,
4808501 TX EBT COLLIN COUNTY,185,,"43,664",,"43,849",,61,,"19,054",,"19,115",,"10,651,999",,,,
4808701 TX EBT COLLINGSWORTH COUNTY,0,,411,,411,,0,,180,,180,,"99,187",,,,
4808901 TX EBT COLORADO COUNTY,2,,"2,350",,"2,352",,1,,"1,047",,"1,048",,"561,519",,,,
4809101 TX EBT COMAL COUNTY,18,,"9,267",,"9,285",,7,,"3,993",,"4,000",,"2,244,933",,,,
4809301 TX EBT COMANCHE COUNTY,0,,"1,679",,"1,679",,0,,737,,737,,"409,140",,,,
4809501 TX EBT CONCHO COUNTY,0,,326,,326,,0,,134,,134,,"76,547",,,,
4809701 TX EBT COOKE COUNTY,18,,"4,221",,"4,239",,5,,"1,813",,"1,818",,"1,015,703",,,,
4809901 TX EBT CORYELL COUNTY,77,,"8,710",,"8,787",,22,,"3,553",,"3,575",,"2,086,275",,,,
4810101 TX EBT COTTLE COUNTY,0,,209,,209,,0,,105,,105,,"49,095",,,,
4810301 TX EBT CRANE COUNTY,4,,479,,483,,1,,190,,191,,"116,264",,,,
4810501 TX EBT CROCKETT COUNTY,0,,339,,339,,0,,133,,133,,"78,651",,,,
4810701 TX EBT CROSBY COUNTY,0,,"1,282",,"1,282",,0,,491,,491,,"296,772",,,,
4810901 TX EBT CULBERSON COUNTY,2,,416,,418,,1,,191,,192,,"108,908",,,,
4811101 TX EBT DALLAM COUNTY,3,,545,,548,,1,,223,,224,,"127,763",,,,
4811304 TX EBT DALLAS COUNTY,"1,071",,"328,924",,"329,995",,353,,"150,909",,"151,262",,"80,832,883",,,,
4811501 TX EBT DAWSON COUNTY,13,,"2,071",,"2,084",,4,,901,,905,,"501,166",,,,
4811701 TX EBT DEAF SMITH COUNTY,7,,"2,509",,"2,516",,3,,"1,019",,"1,022",,"599,064",,,,
4811901 TX EBT DELTA COUNTY,2,,717,,719,,1,,329,,330,,"172,117",,,,
4812101 TX EBT DENTON COUNTY,217,,"43,087",,"43,304",,65,,"18,428",,"18,493",,"10,481,793",,,,
4812301 TX EBT DE WITT COUNTY,29,,"3,117",,"3,146",,10,,"1,382",,"1,392",,"750,903",,,,
4812501 TX EBT DICKENS COUNTY,0,,268,,268,,0,,133,,133,,"66,207",,,,
4812701 TX EBT DIMMIT COUNTY,4,,"2,799",,"2,803",,2,,"1,177",,"1,179",,"657,337",,,,
4812901 TX EBT DONLEY COUNTY,0,,366,,366,,0,,170,,170,,"86,361",,,,
4813101 TX EBT DUVAL COUNTY,0,,"3,273",,"3,273",,0,,"1,503",,"1,503",,"786,466",,,,
4813301 TX EBT EASTLAND COUNTY,4,,"2,513",,"2,517",,2,,"1,173",,"1,175",,"623,820",,,,
4813502 TX EBT ECTOR COUNTY,101,,"21,614",,"21,715",,31,,"8,778",,"8,809",,"5,232,960",,,,
4813701 TX EBT EDWARDS COUNTY,0,,266,,266,,0,,113,,113,,"61,320",,,,
4813901 TX EBT ELLIS COUNTY,56,,"15,732",,"15,788",,18,,"6,470",,"6,488",,"3,761,873",,,,
4814104 TX EBT EL PASO COUNTY,518,,"150,770",,"151,288",,168,,"66,414",,"66,582",,"36,296,510",,,,
4814301 TX EBT ERATH COUNTY,9,,"3,353",,"3,362",,3,,"1,390",,"1,393",,"806,007",,,,
4814501 TX EBT FALLS  COUNTY,17,,"2,899",,"2,916",,5,,"1,366",,"1,371",,"704,603",,,,
4814701 TX EBT FANNIN COUNTY,12,,"3,587",,"3,599",,5,,"1,723",,"1,728",,"872,243",,,,
4814901 TX EBT FAYETTE COUNTY,0,,"1,879",,"1,879",,0,,858,,858,,"452,490",,,,
4815101 TX EBT FISHER COUNTY,7,,442,,449,,2,,202,,204,,"111,391",,,,
4815301 TX EBT FLOYD COUNTY,3,,"1,045",,"1,048",,1,,425,,426,,"249,542",,,,
4815501 TX EBT FOARD COUNTY,0,,124,,124,,0,,64,,64,,"32,725",,,,
4815701 TX EBT FORT BEND COUNTY,120,,"58,957",,"59,077",,45,,"25,949",,"25,994",,"14,266,378",,,,
4815901 TX EBT FRANKLIN COUNTY,2,,"1,234",,"1,236",,1,,555,,556,,"294,916",,,,
4816101 TX EBT FREESTONE COUNTY,15,,"2,378",,"2,393",,6,,"1,099",,"1,105",,"583,675",,,,
4816301 TX EBT FRIO COUNTY,23,,"3,788",,"3,811",,6,,"1,607",,"1,613",,"903,593",,,,
4816501 TX EBT GAINES COUNTY,2,,"1,922",,"1,924",,1,,769,,770,,"460,801",,,,
4816702 TX EBT GALVESTON COUNTY,114,,"37,779",,"37,893",,46,,"17,828",,"17,874",,"9,335,991",,,,
4816901 TX EBT GARZA COUNTY,4,,617,,621,,1,,260,,261,,"143,709",,,,
4817101 TX EBT GILLESPIE COUNTY,0,,"1,190",,"1,190",,0,,522,,522,,"286,330",,,,
4817301 TX EBT GLASSCOCK COUNTY,0,,39,,39,,0,,16,,16,,"9,079",,,,
4817501 TX EBT GOLIAD COUNTY,6,,904,,910,,3,,413,,416,,"222,051",,,,
4817701 TX EBT GONZALES COUNTY,2,,"3,301",,"3,303",,1,,"1,437",,"1,438",,"789,270",,,,
4817901 TX EBT GRAY COUNTY,5,,"3,132",,"3,137",,2,,"1,436",,"1,438",,"778,248",,,,
4818101 TX EBT GRAYSON COUNTY,48,,"14,432",,"14,480",,14,,"6,490",,"6,504",,"3,491,820",,,,
4818301 TX EBT GREGG COUNTY,74,,"19,114",,"19,188",,26,,"8,877",,"8,903",,"4,656,136",,,,
4818501 TX EBT GRIMES COUNTY,4,,"3,803",,"3,807",,2,,"1,740",,"1,742",,"917,489",,,,
4818701 TX EBT GUADALUPE COUNTY,42,,"13,600",,"13,642",,13,,"5,806",,"5,819",,"3,271,588",,,,
4818901 TX EBT HALE COUNTY,11,,"5,323",,"5,334",,4,,"2,170",,"2,174",,"1,261,766",,,,
4819101 TX EBT HALL COUNTY,0,,501,,501,,0,,217,,217,,"117,508",,,,
4819301 TX EBT HAMILTON COUNTY,0,,827,,827,,0,,385,,385,,"202,026",,,,
4819501 TX EBT HANSFORD COUNTY,0,,293,,293,,0,,109,,109,,"70,286",,,,
4819701 TX EBT HARDEMAN COUNTY,8,,521,,529,,3,,230,,233,,"124,143",,,,
4819901 TX EBT HARDIN COUNTY,5,,"6,924",,"6,929",,2,,"3,085",,"3,087",,"1,688,183",,,,
4820103 TX EBT HARRIS COUNTY,"1,554",,"653,109",,"654,663",,526,,"294,206",,"294,732",,"160,356,415",,,,
4820301 TX EBT HARRISON COUNTY,35,,"9,632",,"9,667",,10,,"4,450",,"4,460",,"2,341,311",,,,
4820501 TX EBT HARTLEY COUNTY,0,,143,,143,,0,,49,,49,,"32,555",,,,
4820701 TX EBT HASKELL COUNTY,2,,771,,773,,1,,391,,392,,"189,688",,,,
4820901 TX EBT HAYS COUNTY,38,,"14,849",,"14,887",,14,,"6,352",,"6,366",,"3,623,050",,,,
4821101 TX EBT HEMPHILL COUNTY,0,,189,,189,,0,,68,,68,,"44,351",,,,
4821301 TX EBT HENDERSON COUNTY,26,,"11,820",,"11,846",,9,,"5,606",,"5,615",,"2,889,108",,,,
4821505 TX EBT HIDALGO COUNTY,577,,"222,396",,"222,973",,185,,"89,417",,"89,602",,"52,728,429",,,,
4821701 TX EBT HILL COUNTY,24,,"4,684",,"4,708",,11,,"2,193",,"2,204",,"1,136,674",,,,
4821901 TX EBT HOCKLEY COUNTY,9,,"3,268",,"3,277",,3,,"1,346",,"1,349",,"776,651",,,,
4822101 TX EBT HOOD COUNTY,24,,"4,898",,"4,922",,10,,"2,185",,"2,195",,"1,187,179",,,,
4822301 TX EBT HOPKINS COUNTY,5,,"4,197",,"4,202",,2,,"1,944",,"1,946",,"1,000,279",,,,
4822501 TX EBT HOUSTON COUNTY,15,,"3,529",,"3,544",,5,,"1,778",,"1,783",,"864,468",,,,
4822701 TX EBT HOWARD COUNTY,29,,"4,420",,"4,449",,11,,"1,853",,"1,864",,"1,075,748",,,,
4822901 TX EBT HUDSPETH COUNTY,0,,910,,910,,0,,384,,384,,"215,965",,,,
4823101 TX EBT HUNT COUNTY,47,,"11,867",,"11,914",,16,,"5,470",,"5,486",,"2,905,745",,,,
4823301 TX EBT HUTCHINSON COUNTY,3,,"2,337",,"2,340",,1,,"1,016",,"1,017",,"567,583",,,,
4823501 TX EBT IRION COUNTY,0,,84,,84,,0,,44,,44,,"19,302",,,,
4823701 TX EBT JACK COUNTY,2,,887,,889,,1,,359,,360,,"211,764",,,,
4823901 TX EBT JACKSON COUNTY,0,,"2,016",,"2,016",,0,,863,,863,,"487,650",,,,
4824101 TX EBT JASPER COUNTY,17,,"6,122",,"6,139",,7,,"2,902",,"2,909",,"1,500,337",,,,
4824301 TX EBT JEFF DAVIS COUNTY,0,,81,,81,,0,,46,,46,,"19,470",,,,
4824506 TX EBT JEFFERSON COUNTY,170,,"42,673",,"42,843",,56,,"20,311",,"20,367",,"10,494,236",,,,
4824701 TX EBT JIM HOGG COUNTY,0,,"1,507",,"1,507",,0,,587,,587,,"347,819",,,,
4824901 TX EBT JIM WELLS COUNTY,22,,"10,010",,"10,032",,8,,"4,198",,"4,206",,"2,379,975",,,,
4825101 TX EBT JOHNSON COUNTY,60,,"15,964",,"16,024",,20,,"6,910",,"6,930",,"3,848,148",,,,
4825301 TX EBT JONES COUNTY,6,,"1,949",,"1,955",,1,,855,,856,,"468,709",,,,
4825501 TX EBT KARNES COUNTY,8,,"2,328",,"2,336",,3,,996,,999,,"562,270",,,,
4825701 TX EBT KAUFMAN COUNTY,86,,"16,277",,"16,363",,27,,"6,389",,"6,416",,"3,871,621",,,,
4825901 TX EBT KENDALL COUNTY,4,,"1,620",,"1,624",,1,,723,,724,,"396,856",,,,
4826101 TX EBT KENEDY COUNTY,0,,36,,36,,0,,15,,15,,"8,386",,,,
4826301 TX EBT KENT COUNTY,0,,69,,69,,0,,28,,28,,"14,597",,,,
4826501 TX EBT KERR COUNTY,6,,"4,398",,"4,404",,3,,"2,063",,"2,066",,"1,066,351",,,,
4826701 TX EBT KIMBLE COUNTY,2,,459,,461,,1,,199,,200,,"106,954",,,,
4826901 TX EBT KING COUNTY,0,,5,,5,,0,,2,,2,,"1,180",,,,
4827101 TX EBT KINNEY COUNTY,0,,488,,488,,0,,226,,226,,"114,435",,,,
4827301 TX EBT KLEBERG COUNTY,24,,"6,441",,"6,465",,8,,"2,936",,"2,944",,"1,567,116",,,,
4827501 TX EBT KNOX COUNTY,0,,526,,526,,0,,228,,228,,"122,601",,,,
4827702 TX EBT LAMAR COUNTY,36,,"7,679",,"7,715",,15,,"3,718",,"3,733",,"1,874,735",,,,
4827901 TX EBT LAMB COUNTY,7,,"2,054",,"2,061",,3,,888,,891,,"494,373",,,,
4828101 TX EBT LAMPASAS COUNTY,10,,"2,288",,"2,298",,3,,"1,057",,"1,060",,"553,896",,,,
4828301 TX EBT LA SALLE COUNTY,13,,"1,377",,"1,390",,3,,576,,579,,"320,199",,,,
4828501 TX EBT LAVACA COUNTY,3,,"2,110",,"2,113",,1,,929,,930,,"510,387",,,,
4828701 TX EBT LEE COUNTY,6,,"1,870",,"1,876",,2,,819,,821,,"451,176",,,,
4828901 TX EBT LEON COUNTY,8,,"2,106",,"2,114",,3,,990,,993,,"520,132",,,,
4829101 TX EBT LIBERTY COUNTY,58,,"17,351",,"17,409",,18,,"7,364",,"7,382",,"4,200,382",,,,
4829301 TX EBT LIMESTONE COUNTY,12,,"3,747",,"3,759",,5,,"1,714",,"1,719",,"904,403",,,,
4829501 TX EBT LIPSCOMB COUNTY,0,,222,,222,,0,,83,,83,,"52,975",,,,
4829701 TX EBT LIVE OAK COUNTY,6,,"1,559",,"1,565",,2,,669,,671,,"382,232",,,,
4829901 TX EBT LLANO COUNTY,4,,"2,015",,"2,019",,2,,921,,923,,"485,418",,,,
4830101 TX EBT LOVING COUNTY,0,,8,,8,,0,,4,,4,,"1,911",,,,
4830304 TX EBT LUBBOCK COUNTY,161,,"39,181",,"39,342",,60,,"16,718",,"16,778",,"9,483,108",,,,
4830501 TX EBT LYNN COUNTY,3,,899,,902,,1,,362,,363,,"209,184",,,,
4830701 TX EBT MCCULLOCH COUNTY,3,,"1,252",,"1,255",,1,,604,,605,,"305,472",,,,
4830902 TX EBT MCLENNAN COUNTY,139,,"34,315",,"34,454",,46,,"15,392",,"15,438",,"8,320,242",,,,
4831101 TX EBT MCMULLEN COUNTY,0,,57,,57,,0,,29,,29,,"14,652",,,,
4831301 TX EBT MADISON COUNTY,16,,"1,866",,"1,882",,5,,859,,864,,"452,237",,,,
4831501 TX EBT MARION COUNTY,3,,"1,910",,"1,913",,1,,"1,035",,"1,036",,"474,005",,,,
4831701 TX EBT MARTIN COUNTY,9,,583,,592,,3,,211,,214,,"136,580",,,,
4831901 TX EBT MASON COUNTY,0,,286,,286,,0,,140,,140,,"68,053",,,,
4832101 TX EBT MATAGORDA COUNTY,10,,"6,436",,"6,446",,5,,"2,854",,"2,859",,"1,563,849",,,,
4832301 TX EBT MAVERICK COUNTY,21,,"17,195",,"17,216",,7,,"7,024",,"7,031",,"4,013,037",,,,
4832501 TX EBT MEDINA COUNTY,7,,"6,544",,"6,551",,3,,"2,742",,"2,745",,"1,552,371",,,,
4832701 TX EBT MENARD COUNTY,0,,256,,256,,0,,121,,121,,"61,651",,,,
4832901 TX EBT MIDLAND COUNTY,60,,"14,763",,"14,823",,18,,"5,805",,"5,823",,"3,540,478",,,,
4833101 TX EBT MILAM COUNTY,2,,"3,844",,"3,846",,1,,"1,756",,"1,757",,"921,406",,,,
4833301 TX EBT MILLS COUNTY,2,,392,,394,,1,,183,,184,,"94,109",,,,
4833501 TX EBT MITCHELL COUNTY,0,,982,,982,,0,,416,,416,,"231,774",,,,
4833701 TX EBT MONTAGUE COUNTY,19,,"2,150",,"2,169",,5,,988,,993,,"524,053",,,,
4833901 TX EBT MONTGOMERY COUNTY,119,,"50,589",,"50,708",,44,,"21,853",,"21,897",,"12,290,649",,,,
4834101 TX EBT MOORE COUNTY,6,,"1,734",,"1,740",,2,,664,,666,,"411,712",,,,
4834301 TX EBT MORRIS COUNTY,8,,"2,422",,"2,430",,3,,"1,152",,"1,155",,"584,447",,,,
4834501 TX EBT MOTLEY COUNTY,0,,100,,100,,0,,48,,48,,"24,815",,,,
4834701 TX EBT NACOGDOCHES COUNTY,26,,"9,506",,"9,532",,9,,"4,423",,"4,432",,"2,310,299",,,,
4834901 TX EBT NAVARRO COUNTY,24,,"8,132",,"8,156",,9,,"3,609",,"3,618",,"1,964,508",,,,
4835101 TX EBT NEWTON COUNTY,6,,"2,082",,"2,088",,2,,"1,054",,"1,056",,"513,262",,,,
4835301 TX EBT NOLAN COUNTY,2,,"2,539",,"2,541",,1,,"1,121",,"1,122",,"610,447",,,,
4835503 TX EBT NUECES COUNTY,317,,"64,061",,"64,378",,110,,"29,661",,"29,771",,"15,692,079",,,,
4835701 TX EBT OCHILTREE COUNTY,0,,736,,736,,0,,309,,309,,"178,045",,,,
