count,res_state,county_fips_code
29178,MN,27163
5236,MN,27169
18330,MN,27171
48289,MN,NA
2256,MO,29001
2173,MO,29007
2588,MO,29009
14675,MO,29019
9517,MO,29021
4051,MO,29023
4660,MO,29027
3642,MO,29029
6686,MO,29031
11426,MO,29037
8522,MO,29043
25444,MO,29047
2058,MO,29049
6839,MO,29051
2145,MO,29055
2692,MO,29069
10978,MO,29071
27509,MO,29077
2418,MO,29083
3772,MO,29091
71698,MO,29095
13091,MO,29097
23002,MO,29099
5040,MO,29101
3191,MO,29105
3619,MO,29107
3125,MO,29109
6880,MO,29113
1995,MO,29119
3169,MO,29127
2280,MO,29131
1608,MO,29141
4481,MO,29145
2111,MO,29147
4320,MO,29159
4534,MO,29161
8988,MO,29165
3327,MO,29167
2950,MO,29169
2037,MO,29175
2519,MO,29177
36965,MO,29183
6360,MO,29187
88698,MO,29189
2424,MO,29195
4137,MO,29201
2628,MO,29207
2462,MO,29209
5789,MO,29213
1963,MO,29215
2140,MO,29217
3867,MO,29219
2280,MO,29221
3670,MO,29225
23840,MO,29510
64386,MO,NA
2474,MS,28001
2712,MS,28003
2472,MS,28011
1844,MS,28027
1921,MS,28029
14062,MS,28033
6410,MS,28035
2828,MS,28039
1399,MS,28043
4144,MS,28045
19713,MS,28047
15066,MS,28049
1447,MS,28057
11898,MS,28059
6693,MS,28067
3704,MS,28071
4291,MS,28073
5774,MS,28075
1832,MS,28079
5683,MS,28081
1848,MS,28083
2415,MS,28085
5268,MS,28087
5611,MS,28089
1971,MS,28091
2974,MS,28093
2769,MS,28095
3049,MS,28099
1636,MS,28101
2980,MS,28105
2699,MS,28107
4779,MS,28109
3055,MS,28113
2414,MS,28115
1799,MS,28117
10380,MS,28121
2034,MS,28123
2024,MS,28127
1539,MS,28133
1734,MS,28137
2280,MS,28139
2604,MS,28145
3103,MS,28149
2407,MS,28151
2134,MS,28153
1759,MS,28163
54651,MS,NA
10729,MT,30013
12752,MT,30029
14406,MT,30031
3272,MT,30047
7884,MT,30049
12267,MT,30063
3354,MT,30081
3313,MT,30093
18329,MT,30111
30944,MT,NA
499,NA,NA
20763,NC,37001
4561,NC,37003
2912,NC,37007
2681,NC,37009
5464,NC,37013
4401,NC,37017
14398,NC,37019
24395,NC,37021
10783,NC,37023
28373,NC,37025
8897,NC,37027
6432,NC,37031
2482,NC,37033
20669,NC,37035
5453,NC,37037
3576,NC,37039
13605,NC,37045
7084,NC,37047
10635,NC,37049
39627,NC,37051
2675,NC,37053
3784,NC,37055
21508,NC,37057
5517,NC,37059
6598,NC,37061
27143,NC,37063
6234,NC,37065
40430,NC,37067
8452,NC,37069
30582,NC,37071
5853,NC,37077
2424,NC,37079
54438,NC,37081
6097,NC,37083
15202,NC,37085
6179,NC,37087
12050,NC,37089
1816,NC,37091
5647,NC,37093
23969,NC,37097
4224,NC,37099
25642,NC,37101
6933,NC,37105
6993,NC,37107
11747,NC,37109
6277,NC,37111
4163,NC,37113
2422,NC,37115
2561,NC,37117
127392,NC,37119
2916,NC,37123
10317,NC,37125
11426,NC,37127
23010,NC,37129
23358,NC,37133
9248,NC,37135
4005,NC,37139
7134,NC,37141
4290,NC,37145
22007,NC,37147
1810,NC,37149
16721,NC,37151
5449,NC,37153
17411,NC,37155
10001,NC,37157
19898,NC,37159
7675,NC,37161
7272,NC,37163
3853,NC,37165
8836,NC,37167
5590,NC,37169
10092,NC,37171
3536,NC,37175
29756,NC,37179
5457,NC,37181
119905,NC,37183
4460,NC,37189
12024,NC,37191
8118,NC,37193
8896,NC,37195
5050,NC,37197
30341,NC,NA
12122,ND,38015
20315,ND,38017
6003,ND,38035
3995,ND,38059
5012,ND,38089
2035,ND,38093
6846,ND,38101
4187,ND,38105
22507,ND,NA
2486,NE,31001
5431,NE,31019
1794,NE,31025
1766,NE,31043
2153,NE,31047
3609,NE,31053
54672,NE,31055
1164,NE,31067
5913,NE,31079
27593,NE,31109
2965,NE,31111
1913,NE,31119
2717,NE,31141
14002,NE,31153
1987,NE,31155
3171,NE,31157
1759,NE,31177
33176,NE,NA
7609,NH,33001
5495,NH,33003
8739,NH,33005
4047,NH,33007
8982,NH,33009
49808,NH,33011
16921,NH,33013
35382,NH,33015
16161,NH,33017
6308,NH,33019
1127,NH,NA
37372,NJ,34001
117012,NJ,34003
54815,NJ,34005
62483,NJ,34007
13577,NJ,34009
19701,NJ,34011
114926,NJ,34013
36740,NJ,34015
85102,NJ,34017
14086,NJ,34019
37398,NJ,34021
102757,NJ,34023
94876,NJ,34025
63321,NJ,34027
89840,NJ,34029
71230,NJ,34031
7682,NJ,34033
37158,NJ,34035
21332,NJ,34037
74507,NJ,34039
13386,NJ,34041
9299,NJ,NA
57717,NM,35001
8329,NM,35005
2284,NM,35006
4855,NM,35009
20363,NM,35013
7785,NM,35015
3425,NM,35017
8576,NM,35025
2459,NM,35029
7634,NM,35031
7644,NM,35035
3957,NM,35039
12940,NM,35043
17891,NM,35045
2561,NM,35047
9738,NM,35049
2115,NM,35055
7801,NM,35061
18863,NM,NA
1761,NV,32001
204614,NV,32003
